time,group,mean,P2_5,P97_5,P25,P75,day,MCV2
1,1,6.875048006,4.011640847,9.732686139,5.918415142,7.871812527,0,1
1,2,6.875048006,4.011640847,9.732686139,5.918415142,7.871812527,0,1
1,3,6.875048006,4.011640847,9.732686139,5.918415142,7.871812527,0,1
2,1,6.498543346,3.791947621,9.19968598,5.594299459,7.440721124,15,1
2,2,6.498543346,3.791947621,9.19968598,5.594299459,7.440721124,15,1
2,3,6.498543346,3.791947621,9.19968598,5.594299459,7.440721124,15,1
3,1,6.142657562,3.584285661,8.695875005,5.287933625,7.03323798,30,1
3,2,6.142657562,3.584285661,8.695875005,5.287933625,7.03323798,30,1
3,3,6.142657562,3.584285661,8.695875005,5.287933625,7.03323798,30,1
4,1,5.806261483,3.387996086,8.2196547,4.998345589,6.648070215,45,1
4,2,5.806261483,3.387996086,8.2196547,4.998345589,6.648070215,45,1
4,3,5.806261483,3.387996086,8.2196547,4.998345589,6.648070215,45,1
5,1,5.488287775,3.202456099,7.769514091,4.724616533,6.283995752,60,1
5,2,5.488287775,3.202456099,7.769514091,4.724616533,6.283995752,60,1
5,3,5.488287775,3.202456099,7.769514091,4.724616533,6.283995752,60,1
6,1,5.187727558,3.027077012,7.344024952,4.465877955,5.939859437,75,1
6,2,5.187727558,3.027077012,7.344024952,4.465877955,5.939859437,75,1
6,3,5.187727558,3.027077012,7.344024952,4.465877955,5.939859437,75,1
7,1,4.9036272,2.861302373,6.94183727,4.22130892,5.614569381,90,1
7,2,4.9036272,2.861302373,6.94183727,4.22130892,5.614569381,90,1
7,3,4.9036272,2.861302373,6.94183727,4.22130892,5.614569381,90,1
8,1,4.635085295,2.704606205,6.561674968,3.990133446,5.307093486,105,1
8,2,4.635085295,2.704606205,6.561674968,3.990133446,5.307093486,105,1
8,3,4.635085295,2.704606205,6.561674968,3.990133446,5.307093486,105,1
9,1,4.3812498,2.556491336,6.202331848,3.771618051,5.016456181,120,1
9,2,4.3812498,2.556491336,6.202331848,3.771618051,5.016456181,120,1
9,3,4.3812498,2.556491336,6.202331848,3.771618051,5.016456181,120,1
10,1,4.141315335,2.416487819,5.86266777,3.565069417,4.741735317,135,1
10,2,4.141315335,2.416487819,5.86266777,3.565069417,4.741735317,135,1
10,3,4.141315335,2.416487819,5.86266777,3.565069417,4.741735317,135,1
11,1,3.914520625,2.284151445,5.541605032,3.369832199,4.482059248,150,1
11,2,3.914520625,2.284151445,5.541605032,3.369832199,4.482059248,150,1
11,3,3.914520625,2.284151445,5.541605032,3.369832199,4.482059248,150,1
12,1,3.700279047,2.159062331,5.240416166,3.185286939,4.237792735,165,1
12,2,3.700146085,2.159062331,5.238124953,3.185286939,4.236604061,165,1
12,3,3.700146085,2.159062331,5.238124953,3.185286939,4.236604061,165,1
13,1,4.943446703,2.283964694,7.265342065,3.492060639,6.235422403,180,1
13,2,3.497511537,2.040823589,4.951264635,3.010848102,4.004590966,180,1
13,3,3.497511537,2.040823589,4.951264635,3.010848102,4.004590966,180,1
14,1,6.276258175,5.058659673,7.492310804,5.853258963,6.692162591,195,1
14,2,3.305974054,1.929060065,4.680113917,2.845962222,3.785283819,195,1
14,3,3.305974054,1.929060065,4.680113917,2.845962222,3.785283819,195,1
15,1,6.26533048,5.055225249,7.47874961,5.843678659,6.680167781,210,1
15,2,3.124925917,1.823417151,4.423812478,2.690106141,3.577986795,210,1
15,3,3.124925917,1.823417151,4.423812478,2.690106141,3.577986795,210,1
16,1,6.253990138,5.046075215,7.465212961,5.833101513,6.668076578,225,1
16,2,2.95407955,1.723559659,4.191008559,2.543263073,3.38358383,225,1
16,3,2.953792687,1.723559659,4.181547113,2.542785352,3.38204217,225,1
17,1,6.242670322,5.036941744,7.451700814,5.822543512,6.656007259,240,1
17,2,5.797547325,1.848899953,7.686805453,2.799583745,6.852044649,240,1
17,3,2.792031386,1.629170755,3.952549153,2.403532429,3.196828243,240,1
18,1,6.231370996,5.027824804,7.438213124,5.812004621,6.643959787,255,1
18,2,6.866710189,5.887730962,7.84307685,6.526364006,7.199999696,255,1
18,3,2.63912877,1.539950959,3.736092021,2.271905543,3.02175736,255,1
19,1,6.220092121,5.018724366,7.424749847,5.801484806,6.63193412,270,1
19,2,6.854579329,5.883215713,7.828880764,6.515580834,7.187085213,270,1
19,3,2.494599702,1.45561719,3.531488932,2.147487063,2.856274046,270,1
20,1,6.208833661,5.0096404,7.411310939,5.790984032,6.61993022,285,1
20,2,6.842172438,5.872567004,7.814710373,6.503787536,7.174076482,285,1
20,3,2.357985614,1.37590187,3.338090713,2.029882228,2.699853249,285,1
21,1,6.19759558,5.000572876,7.397896356,5.780502264,6.607948048,300,1
21,2,6.829788003,5.86193757,7.80056563,6.492015583,7.161091296,300,1
21,3,2.228853051,1.300552074,3.155283741,1.918717896,2.55199867,300,1
22,1,6.186377839,4.991521764,7.384506053,5.770039469,6.595987563,315,1
22,2,6.817425985,5.851327376,7.78644649,6.480264938,7.148129614,315,1
22,3,2.106792295,1.229328729,2.982487998,1.81364136,2.412241189,315,1
23,1,6.175180403,4.982487035,7.371139986,5.759595611,6.584048727,330,1
23,2,6.805086342,5.840736386,7.772352905,6.468535561,7.135191392,330,1
23,3,1.991416065,1.162005854,2.819155229,1.714319229,2.280137377,330,1
24,1,6.164003234,4.973468659,7.357798113,5.749170657,6.5721315,345,1
24,2,6.792769034,5.830164566,7.75828483,6.456827415,7.122276589,345,1
24,3,1.882460933,1.098369845,2.672175486,1.620618568,2.156783622,345,1
25,1,6.152846296,4.964466607,7.344480388,5.738764572,6.560235844,360,1
25,2,6.780474021,5.819611881,7.744242219,6.445140461,7.109385162,360,1
25,3,2.829411051,1.158333623,8.226549198,1.775610807,7.701634027,360,1
26,1,6.141709552,4.955480848,7.331186769,5.728377323,6.548361719,375,1
26,2,6.768201261,5.809078296,7.730225025,6.433474661,7.096517069,375,1
26,3,7.714657808,7.092928169,8.33463251,7.500696313,7.92378306,375,1
27,1,6.130592966,4.946511353,7.317917211,5.718008874,6.536509087,390,1
27,2,6.755950716,5.798563778,7.716233202,6.421829975,7.083672267,390,1
27,3,7.701252418,7.083177542,8.319546701,7.487440176,7.909719698,390,1
28,1,6.119496501,4.937558094,7.304671672,5.707659192,6.524677908,405,1
28,2,6.743722344,5.788068291,7.702266705,6.410206367,7.070850714,405,1
28,3,7.687313036,7.070356885,8.304488197,7.473887797,7.895402987,405,1
29,1,6.109337505,4.92862104,7.295723035,5.69749466,6.513530823,420,1
29,2,6.732336225,5.777591801,7.691899403,6.398786393,7.058487267,420,1
29,3,7.673668509,7.059161483,8.290760136,7.461061109,7.882439978,420,1
30,1,6.134431056,4.937186616,7.371080144,5.715953151,6.553034434,435,1
30,2,6.753752528,5.785824264,7.750888128,6.415802844,7.090817178,435,1
30,3,7.683351522,7.053983597,8.384214295,7.463577656,7.906264203,435,1
31,1,6.416653237,5.089852008,7.694169776,5.960118787,6.862110697,450,1
31,2,7.01694547,5.893173385,8.030316091,6.629150371,7.401119685,450,1
31,3,7.912282581,7.138606231,8.64315411,7.622434933,8.189051718,450,1
32,1,6.692590858,5.543025456,7.793351805,6.302473783,7.071224315,465,1
32,2,7.271437311,6.276010682,8.158909256,6.952543792,7.573818046,465,1
32,3,8.130415482,7.449654387,8.707304225,7.922583887,8.327871439,465,1
33,1,6.718370079,5.643520411,7.792729001,6.343750465,7.0849153,480,1
33,2,7.283017136,6.417762532,8.153450499,6.981062461,7.579549826,480,1
33,3,8.138196343,7.577182746,8.697308612,7.944556042,8.327103929,480,1
34,1,6.706444562,5.636579156,7.778624045,6.333394882,7.073025751,495,1
34,2,7.27116524,6.406643958,8.138692632,6.969576548,7.566081029,495,1
34,3,8.123696996,7.566271009,8.681566353,7.931183091,8.312447022,495,1
35,1,6.694305797,5.626376863,7.76454462,6.321931343,7.060223468,510,1
35,2,7.258004322,6.395047836,8.123961476,6.95696151,7.55238631,510,1
35,3,8.108992983,7.552575945,8.665852589,7.916827531,8.297401369,510,1
36,1,6.682189004,5.616193037,7.750490678,6.310488553,7.047444358,525,1
36,2,7.244867226,6.383472704,8.109256985,6.944369306,7.538716378,525,1
36,3,8.094315585,7.53890567,8.650167266,7.902497955,8.282382949,525,1
37,1,6.670094142,5.606027644,7.736462174,6.299066474,7.034688379,540,1
37,2,7.231753908,6.371918523,8.094579108,6.931799894,7.525071188,540,1
37,3,8.079664752,7.525260138,8.634510334,7.888194316,8.267391712,540,1
38,1,6.658021172,5.59588065,7.722459062,6.28766507,7.021955488,555,1
38,2,7.218664325,6.360385256,8.079927799,6.919253232,7.511450697,555,1
38,3,8.065040438,7.511639305,8.618881741,7.873916566,8.252427609,555,1
39,1,6.645970054,5.585752023,7.708481296,6.276284302,7.009245643,570,1
39,2,7.205598435,6.348872863,8.065303009,6.906729281,7.497854859,570,1
39,3,8.050442595,7.498043125,8.603281436,7.85966466,8.237490592,570,1
40,1,6.633940749,5.575641728,7.694528829,6.264924133,6.996558804,585,1
40,2,7.192556194,6.337381308,8.05070469,6.894227997,7.48428363,585,1
40,3,8.035871173,7.484471555,8.587709368,7.845438549,8.222580611,585,1
41,1,6.621933217,5.565549733,7.680601617,6.253584527,6.983894928,600,1
41,2,7.17953756,6.325910554,8.036132794,6.881749342,7.470736964,600,1
41,3,8.021326126,7.47092455,8.572165486,7.831238188,8.207697617,600,1
42,1,6.609947419,5.555476005,7.666699613,6.242265446,6.971253974,615,1
42,2,7.16654249,6.314460561,8.021587274,6.869293273,7.457214819,615,1
42,3,8.006807406,7.457402065,8.556649738,7.81706353,8.192841562,615,1
43,1,6.597983315,5.54542051,7.652822772,6.230966852,6.9586359,630,1
43,2,7.153570941,6.303031293,8.007068081,6.856859749,7.443717149,630,1
43,3,7.992314965,7.443904056,8.541162075,7.802914528,8.178012396,630,1
44,1,6.586040867,5.535383216,7.638971049,6.219688709,6.946040665,645,1
44,2,7.140622871,6.291622712,7.992575168,6.84444873,7.430243909,645,1
44,3,7.977848756,7.430430478,8.525702444,7.788791136,8.163210071,645,1
45,1,6.574120035,5.52536409,7.625144397,6.208430979,6.933468227,660,1
45,2,7.127698236,6.280234781,7.978108488,6.832060176,7.416795057,660,1
45,3,7.96340873,7.416981288,8.510270795,7.774693308,8.148434539,660,1
46,1,6.562220779,5.515363098,7.611342772,6.197193626,6.920918546,675,1
46,2,7.114796996,6.268867462,7.963667992,6.819694045,7.403370547,675,1
46,3,7.948994841,7.403556441,8.494867077,7.760620997,8.133685751,675,1
47,1,6.550343061,5.505380209,7.597566128,6.185976613,6.90839158,690,1
47,2,7.101919107,6.257520718,7.949253634,6.807350297,7.389970336,690,1
