time,group,day,no_positive,total_person,mean,lower,upper,MCV2
1,1,0,9257,10000,0.9257,0.920384812,0.930765639,1
2,1,15,8949,10000,0.8949,0.888723699,0.90084523,1
3,1,30,8522,10000,0.8522,0.845091577,0.859102641,1
4,1,45,7997,10000,0.7997,0.791718955,0.807506123,1
5,1,60,7311,10000,0.7311,0.722293284,0.739771942,1
6,1,75,6501,10000,0.6501,0.640659525,0.659452985,1
7,1,90,5474,10000,0.5474,0.537581694,0.557190685,1
8,1,105,4405,10000,0.4405,0.430738334,0.450296338,1
9,1,120,3330,10000,0.333,0.323762685,0.342334663,1
10,1,135,2331,10000,0.2331,0.224841824,0.241513884,1
11,1,150,1486,10000,0.1486,0.141681603,0.155723708,1
12,1,165,828,10000,0.0828,0.077470811,0.088373606,1
13,1,180,5129,10000,0.5129,0.503050884,0.5227416,1
14,1,195,9899,10000,0.9899,0.987740938,0.991766066,1
15,1,210,9903,10000,0.9903,0.988179465,0.992127113,1
16,1,225,9902,10000,0.9902,0.988069758,0.992036927,1
17,1,240,9898,10000,0.9898,0.987631429,0.99167568,1
18,1,255,9895,10000,0.9895,0.987303187,0.991404234,1
19,1,270,9890,10000,0.989,0.986757022,0.990950904,1
20,1,285,9887,10000,0.9887,0.986429841,0.990678382,1
21,1,300,9883,10000,0.9883,0.985994172,0.99031444,1
22,1,315,9880,10000,0.988,0.985667831,0.990041067,1
23,1,330,9876,10000,0.9876,0.985233234,0.989676039,1
24,1,345,9870,10000,0.987,0.984582405,0.989127419,1
25,1,360,9866,10000,0.9866,0.984149192,0.988760991,1
26,1,375,9863,10000,0.9863,0.98382462,0.98848583,1
27,1,390,9860,10000,0.986,0.983500325,0.988210388,1
28,1,405,9855,10000,0.9855,0.982960429,0.987750716,1
29,1,420,9853,10000,0.9853,0.982744672,0.987566645,1
30,1,435,9859,10000,0.9859,0.983392287,0.988118513,1
31,1,450,9925,10000,0.9925,0.990607633,0.994096337,1
32,1,465,9985,10000,0.9985,0.997527183,0.999160226,1
33,1,480,9998,10000,0.9998,0.99927772,0.999975778,1
34,1,495,9998,10000,0.9998,0.99927772,0.999975778,1
35,1,510,9998,10000,0.9998,0.99927772,0.999975778,1
36,1,525,9998,10000,0.9998,0.99927772,0.999975778,1
37,1,540,9998,10000,0.9998,0.99927772,0.999975778,1
38,1,555,9998,10000,0.9998,0.99927772,0.999975778,1
39,1,570,9997,10000,0.9997,0.999123525,0.999938129,1
40,1,585,9997,10000,0.9997,0.999123525,0.999938129,1
41,1,600,9996,10000,0.9996,0.998976161,0.999891003,1
42,1,615,9996,10000,0.9996,0.998976161,0.999891003,1
43,1,630,9996,10000,0.9996,0.998976161,0.999891003,1
44,1,645,9996,10000,0.9996,0.998976161,0.999891003,1
45,1,660,9995,10000,0.9995,0.998833556,0.999837632,1
46,1,675,9993,10000,0.9993,0.998558268,0.999718519,1
47,1,690,9991,10000,0.9991,0.99829221,0.999588383,1
48,1,705,9991,10000,0.9991,0.99829221,0.999588383,1
49,1,720,9989,10000,0.9989,0.998032651,0.99945076,1
50,1,735,9989,10000,0.9989,0.998032651,0.99945076,1
51,1,750,9989,10000,0.9989,0.998032651,0.99945076,1
52,1,765,9989,10000,0.9989,0.998032651,0.99945076,1
53,1,780,9989,10000,0.9989,0.998032651,0.99945076,1
54,1,795,9988,10000,0.9988,0.997904781,0.999379794,1
55,1,810,9987,10000,0.9987,0.997777986,0.999307629,1
56,1,825,9986,10000,0.9986,0.997652152,0.999234402,1
57,1,840,9986,10000,0.9986,0.997652152,0.999234402,1
58,1,855,9986,10000,0.9986,0.997652152,0.999234402,1
59,1,870,9986,10000,0.9986,0.997652152,0.999234402,1
60,1,885,9985,10000,0.9985,0.997527183,0.999160226,1
61,1,900,9985,10000,0.9985,0.997527183,0.999160226,1
62,1,915,9984,10000,0.9984,0.997402997,0.999085194,1
63,1,930,9984,10000,0.9984,0.997402997,0.999085194,1
64,1,945,9984,10000,0.9984,0.997402997,0.999085194,1
65,1,960,9984,10000,0.9984,0.997402997,0.999085194,1
66,1,975,9982,10000,0.9982,0.99715671,0.998932868,1
67,1,990,9981,10000,0.9981,0.997034498,0.9988557,1
68,1,1005,9979,10000,0.9979,0.996791709,0.998699612,1
69,1,1020,9978,10000,0.9978,0.996671057,0.998620774,1
70,1,1035,9976,10000,0.9976,0.996431081,0.998461688,1
71,1,1050,9975,10000,0.9975,0.996311704,0.998381499,1
72,1,1065,9975,10000,0.9975,0.996311704,0.998381499,1
73,1,1080,9973,10000,0.9973,0.996074055,0.998219952,1
74,1,1095,9971,10000,0.9971,0.995837751,0.998056991,1
75,1,1110,9969,10000,0.9969,0.995602659,0.997892758,1
76,1,1125,9968,10000,0.9968,0.995485531,0.997810204,1
77,1,1140,9968,10000,0.9968,0.995485531,0.997810204,1
78,1,1155,9968,10000,0.9968,0.995485531,0.997810204,1
79,1,1170,9966,10000,0.9966,0.995252052,0.997644287,1
80,1,1185,9964,10000,0.9964,0.995019533,0.997477369,1
81,1,1200,9964,10000,0.9964,0.995019533,0.997477369,1
82,1,1215,9963,10000,0.9963,0.994903609,0.997393561,1
83,1,1230,9955,10000,0.9955,0.993983229,0.996715832,1
84,1,1245,9953,10000,0.9953,0.993754843,0.996544634,1
85,1,1260,9952,10000,0.9952,0.993640877,0.996458801,1
86,1,1275,9948,10000,0.9948,0.993186416,0.996114025,1
87,1,1290,9945,10000,0.9945,0.992846937,0.995854039,1
88,1,1305,9944,10000,0.9944,0.992734019,0.995767129,1
89,1,1320,9943,10000,0.9943,0.992621216,0.995680101,1
90,1,1335,9941,10000,0.9941,0.992395945,0.995505702,1
91,1,1350,9939,10000,0.9939,0.992171101,0.995330865,1
92,1,1365,9932,10000,0.9932,0.991387235,0.994715778,1
93,1,1380,9928,10000,0.9928,0.990941266,0.994362303,1
94,1,1395,9923,10000,0.9923,0.990385589,0.993918641,1
95,1,1410,9923,10000,0.9923,0.990385589,0.993918641,1
96,1,1425,9921,10000,0.9921,0.990163834,0.99374065,1
97,1,1440,9915,10000,0.9915,0.989500198,0.99320502,1
98,1,1455,9912,10000,0.9912,0.989169239,0.992936331,1
99,1,1470,9910,10000,0.991,0.988948897,0.992756902,1
100,1,1485,9903,10000,0.9903,0.988179465,0.992127113,1
101,1,1500,9903,10000,0.9903,0.988179465,0.992127113,1
102,1,1515,9899,10000,0.9899,0.987740938,0.991766066,1
103,1,1530,9895,10000,0.9895,0.987303187,0.991404234,1
104,1,1545,9888,10000,0.9888,0.98653886,0.990769265,1
105,1,1560,9884,10000,0.9884,0.986103029,0.990405486,1
106,1,1575,9881,10000,0.9881,0.985776573,0.99013223,1
107,1,1590,9873,10000,0.9873,0.984907664,0.989401886,1
108,1,1605,9867,10000,0.9867,0.984257447,0.988852647,1
109,1,1620,9863,10000,0.9863,0.98382462,0.98848583,1
110,1,1635,9861,10000,0.9861,0.983608393,0.988302233,1
111,1,1650,9855,10000,0.9855,0.982960429,0.987750716,1
112,1,1665,9852,10000,0.9852,0.982636836,0.987474566,1
113,1,1680,9849,10000,0.9849,0.98231349,0.987198165,1
114,1,1695,9848,10000,0.9848,0.982205763,0.987105977,1
115,1,1710,9838,10000,0.9838,0.981129904,0.986182664,1
116,1,1725,9829,10000,0.9829,0.980163706,0.985349588,1
117,1,1740,9822,10000,0.9822,0.979413477,0.984700372,1
118,1,1755,9813,10000,0.9813,0.978450405,0.983864144,1
119,1,1770,9806,10000,0.9806,0.977702452,0.983212634,1
120,1,1785,9791,10000,0.9791,0.9761027,0.981813513,1
121,1,1800,9780,10000,0.978,0.974931954,0.98078507,1
122,1,1815,9771,10000,0.9771,0.973975467,0.97994221,1
123,1,1830,9762,10000,0.9762,0.97302016,0.979098164,1
124,1,1845,9751,10000,0.9751,0.971854072,0.978065033,1
125,1,1860,9740,10000,0.974,0.970689544,0.977030333,1
126,1,1875,9728,10000,0.9728,0.969420817,0.975899893,1
127,1,1890,9715,10000,0.9715,0.968048203,0.974673399,1
128,1,1905,9698,10000,0.9698,0.966255931,0.973066826,1
129,1,1920,9682,10000,0.9682,0.964571663,0.971552168,1
130,1,1935,9663,10000,0.9663,0.962574588,0.969750506,1
131,1,1950,9646,10000,0.9646,0.960790283,0.968135929,1
132,1,1965,9639,10000,0.9639,0.960056228,0.967470442,1
133,1,1980,9625,10000,0.9625,0.958589215,0.966138366,1
134,1,1995,9609,10000,0.9609,0.956914334,0.964614282,1
135,1,2010,9596,10000,0.9596,0.955554763,0.96337469,1
