x_axis,dose,mean,lower,upper
253,1,0.968328797,0.966557774,0.970099819
254,1,0.968287555,0.966539303,0.970035806
255,1,0.968243366,0.966517865,0.969968867
256,1,0.968196263,0.966493482,0.969899045
257,1,0.968146278,0.966466173,0.969826383
258,1,0.968093443,0.966435961,0.969750924
259,1,0.968037789,0.966402866,0.969672712
260,1,0.967979349,0.966366909,0.969591789
261,1,0.967918155,0.966328109,0.9695082
262,1,0.967854239,0.966286488,0.969421989
263,1,0.967787632,0.966242065,0.969333199
264,1,0.967718368,0.966194861,0.969241876
265,1,0.967646479,0.966144895,0.969148063
266,1,0.967571999,0.966092189,0.969051808
267,1,0.967494965,0.966036768,0.968953161
268,1,0.967415412,0.965978653,0.968852171
269,1,0.967333377,0.965917868,0.968748886
270,1,0.967248898,0.965854437,0.96864336
271,1,0.967162015,0.965788386,0.968535645
272,1,0.967072766,0.965719739,0.968425793
273,1,0.966981192,0.965648524,0.96831386
274,1,0.966887333,0.965574766,0.968199901
275,1,0.966791233,0.965498493,0.968083973
276,1,0.966692932,0.965419733,0.967966132
277,1,0.966592475,0.965338515,0.967846435
278,1,0.966489904,0.965254866,0.967724942
279,1,0.966385265,0.965168818,0.967601712
280,1,0.966278603,0.9650804,0.967476805
281,1,0.966169962,0.964989642,0.967350281
282,1,0.966059389,0.964896577,0.967222201
283,1,0.965946932,0.964801237,0.967092627
284,1,0.965832636,0.964703653,0.966961619
285,1,0.96571655,0.96460386,0.96682924
286,1,0.965598721,0.964501891,0.966695551
287,1,0.965479199,0.964397782,0.966560616
288,1,0.965358032,0.964291569,0.966424495
289,1,0.965235269,0.964183287,0.966287251
290,1,0.965110959,0.964072974,0.966148945
291,1,0.964985154,0.96396067,0.966009638
292,1,0.964857903,0.963846413,0.965869392
293,1,0.964729255,0.963730244,0.965728267
294,1,0.964599263,0.963612205,0.965586322
295,1,0.964467977,0.963492338,0.965443615
296,1,0.964335447,0.963370689,0.965300206
297,1,0.964201726,0.963247303,0.965156149
298,1,0.964066864,0.963122225,0.965011502
299,1,0.963930912,0.962995506,0.964866319
300,1,0.963793923,0.962867194,0.964720652
301,1,0.963655948,0.962737341,0.964574554
302,1,0.963517037,0.962606,0.964428074
303,1,0.963377243,0.962473224,0.964281262
304,1,0.963236617,0.962339069,0.964134165
305,1,0.96309521,0.962203593,0.963986828
306,1,0.962953074,0.962066854,0.963839295
307,1,0.96281026,0.961928911,0.963691609
308,1,0.962666818,0.961789827,0.96354381
309,1,0.9625228,0.961649662,0.963395939
310,1,0.962378256,0.961508481,0.963248031
311,1,0.962233237,0.961366349,0.963100125
312,1,0.962087792,0.961223329,0.962952254
313,1,0.961941971,0.96107949,0.962804453
314,1,0.961795825,0.960934897,0.962656753
315,1,0.961649401,0.960789617,0.962509185
316,1,0.961502749,0.960643719,0.96236178
317,1,0.961355918,0.96049727,0.962214566
318,1,0.961208955,0.960350338,0.962067572
319,1,0.961061908,0.96020299,0.961920826
320,1,0.960914824,0.960055295,0.961774352
321,1,0.96076775,0.959907321,0.961628179
322,1,0.960620732,0.959759133,0.961482331
323,1,0.960473815,0.959610799,0.961336832
324,1,0.960327045,0.959462382,0.961191708
325,1,0.960180467,0.95931395,0.961046984
326,1,0.960034124,0.959165565,0.960902682
327,1,0.959888058,0.95901729,0.960758826
328,1,0.959742314,0.958869187,0.960615441
329,1,0.959596934,0.958721318,0.960472549
330,1,0.959451957,0.95857374,0.960330174
331,1,0.959307426,0.958426513,0.960188339
332,1,0.959163379,0.958279693,0.960047066
333,1,0.959019857,0.958133336,0.959906379
334,1,0.958876898,0.957987495,0.959766301
335,1,0.958734539,0.957842223,0.959626854
336,1,0.958592816,0.957697572,0.959488061
337,1,0.958451768,0.957553591,0.959349945
338,1,0.958311428,0.957410327,0.959212528
339,1,0.95817183,0.957267827,0.959075832
340,1,0.958033008,0.957126136,0.958939879
341,1,0.957894996,0.956985299,0.958804693
342,1,0.957757824,0.956845355,0.958670293
343,1,0.957621523,0.956706344,0.958536703
344,1,0.957486124,0.956568306,0.958403942
345,1,0.957351655,0.956431278,0.958272033
346,1,0.957218145,0.956295294,0.958140997
347,1,0.95708562,0.956160388,0.958010852
348,1,0.956954106,0.956026592,0.957881621
349,1,0.95682363,0.955893937,0.957753322
350,1,0.956694214,0.955762452,0.957625976
351,1,0.956565881,0.955632163,0.957499599
352,1,0.956438654,0.955503096,0.957374212
353,1,0.956312554,0.955375276,0.957249833
354,1,0.956187601,0.955248725,0.957126478
355,1,0.956063814,0.955123462,0.957004165
356,1,0.955941209,0.954999509,0.95688291
357,1,0.955819806,0.954876883,0.956762729
358,1,0.955699619,0.954755601,0.956643637
359,1,0.955580662,0.954635675,0.956525648
360,1,0.955462949,0.95451712,0.956408777
361,1,0.955346493,0.954399949,0.956293037
362,1,0.955231305,0.95428417,0.956178441
363,1,0.955117395,0.954169792,0.956064998
364,1,0.955004773,0.954056823,0.955952722
365,1,0.954893447,0.95394527,0.955841623
366,1,0.954783427,0.953835141,0.955731714
367,1,0.954674724,0.953726443,0.955623006
368,1,0.954567347,0.953619183,0.955515511
369,1,0.954461306,0.953513369,0.955409243
370,1,0.95435661,0.953409007,0.955304213
371,1,0.954253269,0.953306104,0.955200434
372,1,0.954151293,0.953204667,0.955097919
373,1,0.954050691,0.953104702,0.95499668
374,1,0.953951473,0.953006217,0.954896729
375,1,0.953853649,0.952909217,0.954798081
376,1,0.953757228,0.952813709,0.954700748
377,1,0.953662221,0.952719699,0.954604742
378,1,0.953568636,0.952627194,0.954510077
379,1,0.953476484,0.9525362,0.954416767
380,1,0.953385773,0.952446724,0.954324823
381,1,0.953296515,0.952358771,0.954234259
382,1,0.953208718,0.952272347,0.954145088
383,1,0.953122392,0.95218746,0.954057324
384,1,0.953037547,0.952104115,0.953970979
385,1,0.952954193,0.952022318,0.953886067
386,1,0.952872338,0.951942076,0.9538026
387,1,0.952791994,0.951863395,0.953720593
388,1,0.952713169,0.951786282,0.953640056
389,1,0.952635874,0.951710742,0.953561005
390,1,0.952560117,0.951636782,0.953483451
391,1,0.952485908,0.951564408,0.953407408
392,1,0.952413253,0.951493622,0.953332884
393,1,0.952342158,0.951424427,0.95325989
394,1,0.952272628,0.951356823,0.953188433
395,1,0.952204667,0.951290813,0.953118522
