group,time,y_mean,y_lower,y_upper
1,1,6.876370455,6.876852753,6.875865201
1,2,6.850098061,6.851059005,6.849091451
1,3,6.823926045,6.825362004,6.822421954
1,4,6.797854023,6.799761388,6.795856305
1,5,6.771881615,6.774256795,6.7693941
1,6,6.746008439,6.748847865,6.743034934
1,7,6.720234116,6.723534238,6.716778409
1,8,6.694558268,6.698315558,6.690624122
1,9,6.668980519,6.673191469,6.664571677
1,10,6.643500495,6.648161615,6.638620677
1,11,6.618117822,6.623225643,6.612770727
1,12,6.592832128,6.598383202,6.587021434
1,13,6.567643042,6.573633939,6.561372405
1,14,6.542550195,6.548977507,6.53582325
1,15,6.517553221,6.524413555,6.51037358
1,16,6.492651751,6.499941739,6.485023008
1,17,6.467845422,6.475561711,6.459771148
1,18,6.44313387,6.451273128,6.434617615
1,19,6.418516733,6.427075648,6.409562027
1,20,6.39399365,6.402968927,6.384604002
1,21,6.369564262,6.378952625,6.359743161
1,22,6.345228211,6.355026405,6.334979125
1,23,6.32098514,6.331189927,6.310311517
1,24,6.296834694,6.307442855,6.285739961
1,25,6.272776519,6.283784853,6.261264084
1,26,6.248810262,6.260215589,6.236883513
1,27,6.224935573,6.236734728,6.212597877
1,28,6.201152101,6.213341939,6.188406806
1,29,6.177459499,6.190036892,6.164309931
1,30,6.153857418,6.166819258,6.140306888
1,31,6.130345513,6.143688708,6.116397308
1,32,6.106923439,6.120644917,6.09258083
1,33,6.083590854,6.097687559,6.06885709
1,34,6.060347415,6.074816309,6.045225728
1,35,6.037192781,6.052030845,6.021686383
1,36,6.014126614,6.029330845,5.998238697
1,37,5.991148576,6.006715988,5.974882313
1,38,5.968258329,5.984185955,5.951616876
1,39,5.945455538,5.961740428,5.928442032
1,40,5.922739869,5.93937909,5.905357428
1,41,5.90011099,5.917101625,5.882362713
1,42,5.877568568,5.894907718,5.859457536
1,43,5.855112274,5.872797056,5.836641548
1,44,5.832741778,5.850769328,5.813914404
1,45,5.810456752,5.828824221,5.791275756
1,46,5.78825687,5.806961425,5.76872526
1,47,5.766141807,5.785180633,5.746262573
1,48,5.744111238,5.763481537,5.723887352
1,49,5.722164842,5.741863829,5.701599258
1,50,5.700302295,5.720327206,5.679397951
1,51,5.678523278,5.698871362,5.657283093
1,52,5.656827471,5.677495995,5.635254348
1,53,5.635214557,5.656200803,5.613311379
1,54,5.613684219,5.634985485,5.591453854
1,55,5.592236142,5.613849741,5.569681439
1,56,5.570870011,5.592793274,5.547993804
1,57,5.549585513,5.571815785,5.526390617
1,58,5.528382336,5.550916979,5.50487155
1,59,5.50726017,5.53009656,5.483436276
1,60,5.486218704,5.509354235,5.462084468
1,61,5.465257631,5.48868971,5.440815801
1,62,5.444376644,5.468102694,5.419629952
1,63,5.423575436,5.447592896,5.398526598
1,64,5.402853703,5.427160026,5.377505417
1,65,5.382211142,5.406803795,5.356566091
1,66,5.361647448,5.386523917,5.335708299
1,67,5.341162322,5.366320105,5.314931726
1,68,5.320755463,5.346192074,5.294236053
1,69,5.300426572,5.326139539,5.273620967
1,70,5.280175351,5.306162217,5.253086153
1,71,5.260001504,5.286259826,5.232631299
1,72,5.239904734,5.266432085,5.212256094
1,73,5.219884747,5.246678714,5.191960228
1,74,5.199941251,5.226999435,5.171743391
1,75,5.180073952,5.207393968,5.151605276
1,76,5.16028256,5.187862038,5.131545576
1,77,5.140566784,5.168403368,5.111563986
1,78,5.120926335,5.149017684,5.091660201
1,79,5.101360927,5.129704712,5.07183392
1,80,5.081870272,5.11046418,5.052084839
1,81,5.062454084,5.091295814,5.032412659
1,82,5.043112079,5.072199346,5.012817081
1,83,5.023843974,5.053174505,4.993297804
1,84,5.004649486,5.034221022,4.973854534
1,85,4.985528334,5.01533863,4.954486973
1,86,4.966480238,4.996527062,4.935194826
1,87,4.947504918,4.977786053,4.915977801
1,88,4.928602097,4.959115338,4.896835605
1,89,4.909771498,4.940514653,4.877767946
1,90,4.891012844,4.921983736,4.858774534
1,91,4.872325861,4.903522324,4.83985508
1,92,4.853710275,4.885130158,4.821009296
1,93,4.835165813,4.866806977,4.802236895
1,94,4.816692203,4.848552523,4.783537591
1,95,4.798289175,4.830366538,4.7649111
1,96,4.77995646,4.812248765,4.746357138
1,97,4.761693787,4.794198948,4.727875423
1,98,4.743500891,4.776216833,4.709465674
1,99,4.725377503,4.758302165,4.69112761
1,100,4.707323359,4.740454692,4.672860952
1,101,4.689338195,4.72267416,4.654665422
1,102,4.671421745,4.704960321,4.636540743
1,103,4.653573749,4.687312922,4.618486639
1,104,4.635793944,4.669731716,4.600502836
1,105,4.61808207,4.652216453,4.582589059
1,106,4.600437868,4.634766887,4.564745036
1,107,4.582861078,4.61738277,4.546970496
1,108,4.565351443,4.600063858,4.529265167
1,109,4.547908708,4.582809906,4.511628781
1,110,4.530532615,4.56562067,4.494061069
1,111,4.51322291,4.548495908,4.476561763
1,112,4.495979341,4.531435377,4.459130597
1,113,4.478801654,4.514438837,4.441767306
1,114,4.461689596,4.497506048,4.424471625
1,115,4.444642919,4.48063677,4.407243292
1,116,4.427661372,4.463830766,4.390082043
1,117,4.410744705,4.447087798,4.372987619
1,118,4.393892672,4.43040763,4.355959757
1,119,4.377105025,4.413790026,4.3389982
1,120,4.360381518,4.397234751,4.32210269
1,121,4.343721906,4.380741571,4.305272968
1,122,4.327125945,4.364310255,4.288508779
1,123,4.310593392,4.347940569,4.271809868
1,124,4.294124004,4.331632283,4.25517598
1,125,4.277717541,4.315385166,4.238606862
1,126,4.261373762,4.299198988,4.222102263
1,127,4.245092427,4.283073522,4.20566193
1,128,4.228873297,4.26700854,4.189285614
1,129,4.212716136,4.251003814,4.172973065
1,130,4.196620706,4.235059119,4.156724036
1,131,4.180586771,4.219174229,4.140538277
1,132,4.164614097,4.20334892,4.124415545
1,133,4.14870245,4.18758297,4.108355592
1,134,4.132851595,4.171876154,4.092358174
1,135,4.117061302,4.156228251,4.076423049
1,136,4.101331338,4.140639041,4.060549972
1,137,4.085661473,4.125108302,4.044738704
1,138,4.070051478,4.109635817,4.028989002
1,139,4.054501124,4.094221366,4.013300628
1,140,4.039010182,4.078864731,3.997673343
1,141,4.023578427,4.063565697,3.982106908
1,142,4.008205631,4.048324046,3.966601087
1,143,3.99289157,4.033139563,3.951155643
1,144,3.977636018,4.018012035,3.935770343
1,145,3.962438754,4.002941247,3.92044495
1,146,3.947299553,3.987926986,3.905179233
1,147,3.932218194,3.972969042,3.889972959
1,148,3.917194456,3.958067201,3.874825895
1,149,3.902228119,3.943221255,3.859737813
1,150,3.887318964,3.928430992,3.844708482
1,151,3.872466771,3.913696206,3.829737673
1,152,3.857671324,3.899016686,3.814825158
1,153,3.842932406,3.884392227,3.799970711
1,154,3.8282498,3.869822621,3.785174105
1,155,3.813623292,3.855307663,3.770435116
1,156,3.799052667,3.840847147,3.755753518
1,157,3.784537712,3.826440871,3.741129088
1,158,3.770078214,3.812088629,3.726561604
1,159,3.75567396,3.79779022,3.712050844
1,160,3.741324741,3.783545442,3.697596587
1,161,3.727030346,3.769354093,3.683198613
1,162,3.712790564,3.755215973,3.668856703
1,163,3.698605189,3.741130882,3.654570639
1,164,3.684474011,3.727098622,3.640340203
1,165,3.670396824,3.713118994,3.626165178
1,166,3.656373421,3.699191801,3.612045349
1,167,3.642403597,3.685316846,3.597980501
1,168,3.628487147,3.671493934,3.583970419
1,169,3.614623868,3.657722868,3.570014892
1,170,3.600813556,3.644003455,3.556113705
1,171,3.587056008,3.630335501,3.542266647
1,172,3.573351024,3.616718813,3.528473509
1,173,3.559698401,3.603153199,3.514734079
1,174,3.546097942,3.589638466,3.501048148
1,175,3.532549445,3.576174425,3.487415509
1,176,3.519052712,3.562760884,3.473835954
1,177,3.505607547,3.549397656,3.460309276
1,178,3.492213751,3.53608455,3.446835269
1,179,3.478871128,3.522821379,3.433413728
1,180,3.465579483,3.509607955,3.420044448
1,181,3.452338621,3.496444093,3.406727227
1,182,3.439148348,3.483329606,3.393461862
1,183,3.426008471,3.470264308,3.38024815
1,184,3.412918798,3.457248016,3.367085891
1,185,3.399879135,3.444280546,3.353974884
1,186,3.386889293,3.431361714,3.34091493
1,187,3.373949082,3.418491338,3.327905829
1,188,3.36105831,3.405669237,3.314947385
1,189,3.34821679,3.392895228,3.302039398
1,190,3.335424333,3.380169133,3.289181674
1,191,3.322680752,3.367490771,3.276374016
1,192,3.30998586,3.354859962,3.26361623
1,193,3.297339472,3.34227653,3.250908121
1,194,3.284741401,3.329740295,3.238249495
1,195,3.272191463,3.317251082,3.225640161
1,196,3.259689474,3.304808713,3.213079926
1,197,3.247235252,3.292413013,3.200568599
1,198,3.234828613,3.280063807,3.188105989
1,199,3.222469376,3.267760921,3.175691907
1,200,3.210157359,3.25550418,3.163326164
1,201,3.197892383,3.243293412,3.151008572
1,202,3.185674268,3.231128444,3.138738943
1,203,3.173502833,3.219009104,3.12651709
1,204,3.161377902,3.206935222,3.114342827
1,205,3.149299297,3.194906627,3.10221597
1,206,3.137266839,3.182923148,3.090136333
1,207,3.125280354,3.170984618,3.078103732
1,208,3.113339666,3.159090866,3.066117985
1,209,3.101444599,3.147241726,3.054178909
1,210,3.089594979,3.135437029,3.042286323
1,211,3.077790633,3.12367661,3.030440044
1,212,3.066031387,3.111960301,3.018639894
1,213,3.05431707,3.100287939,3.006885691
1,214,3.042647509,3.088659357,2.995177258
1,215,3.031022534,3.077074391,2.983514417
1,216,3.019441974,3.065532879,2.971896988
1,217,3.00790566,3.054034656,2.960324797
1,218,2.996413422,3.042579562,2.948797666
1,219,2.984965093,3.031167433,2.937315421
1,220,2.973560504,3.019798108,2.925877886
1,221,2.962199488,3.008471428,2.914484887
1,222,2.950881879,2.997187232,2.903136251
1,223,2.93960751,2.985945361,2.891831806
1,224,2.928376218,2.974745656,2.880571378
1,225,2.917187837,2.963587959,2.869354797
1,226,2.906042203,2.952472112,2.858181892
1,227,2.894939152,2.941397959,2.847052493
1,228,2.883878523,2.930365343,2.83596643
1,229,2.872860153,2.919374108,2.824923535
1,230,2.861883881,2.908424099,2.81392364
1,231,2.850949545,2.897515161,2.802966577
1,232,2.840056986,2.88664714,2.792052179
1,233,2.829206044,2.875819884,2.781180281
1,234,2.81839656,2.865033238,2.770350716
1,235,2.807628376,2.854287051,2.759563321
1,236,2.796901333,2.843581171,2.74881793
1,237,2.786215275,2.832915447,2.73811438
1,238,2.775570045,2.822289727,2.727452509
1,239,2.764965486,2.811703863,2.716832153
1,240,2.754401445,2.801157704,2.706253152
1,241,2.743877765,2.790651102,2.695715344
1,242,2.733394293,2.780183908,2.68521857
1,243,2.722950875,2.769755975,2.674762668
1,244,2.712547357,2.759367154,2.66434748
1,245,2.702183588,2.749017301,2.653972848
1,246,2.691859416,2.738706267,2.643638613
1,247,2.681574689,2.728433908,2.633344618
1,248,2.671329257,2.718200079,2.623090707
1,249,2.661122969,2.708004635,2.612876723
1,250,2.650955676,2.697847432,2.602702511
1,251,2.64082723,2.687728327,2.592567917
1,252,2.63073748,2.677647176,2.582472785
1,253,2.62068628,2.667603838,2.572416962
1,254,2.610673483,2.657598171,2.562400295
1,255,2.600698942,2.647630033,2.552422632
1,256,2.590762509,2.637699283,2.542483821
1,257,2.580864041,2.627805782,2.532583711
1,258,2.571003392,2.61794939,2.52272215
1,259,2.561180417,2.608129966,2.512898988
1,260,2.551394972,2.598347374,2.503114077
1,261,2.541646915,2.588601474,2.493367267
1,262,2.531936101,2.57889213,2.48365841
1,263,2.52226239,2.569219203,2.473987358
1,264,2.512625639,2.559582557,2.464353964
1,265,2.503025706,2.549982057,2.454758081
1,266,2.493462452,2.540417566,2.445199563
1,267,2.483935736,2.53088895,2.435678265
1,268,2.474445419,2.521396074,2.426194042
1,269,2.46499136,2.511938803,2.416746749
1,270,2.455573423,2.502517005,2.407336242
1,271,2.446191469,2.493130547,2.397962379
1,272,2.43684536,2.483779295,2.388625017
1,273,2.42753496,2.474463118,2.379324013
1,274,2.418260131,2.465181884,2.370059226
1,275,2.409020739,2.455935463,2.360830515
1,276,2.399816648,2.446723723,2.351637739
1,277,2.390647722,2.437546534,2.342480759
1,278,2.381513828,2.428403767,2.333359435
1,279,2.372414831,2.419295293,2.324273628
1,280,2.363350599,2.410220983,2.3152232
1,281,2.354320999,2.401180709,2.306208013
1,282,2.345325897,2.392174344,2.297227931
1,283,2.336365163,2.383201759,2.288282816
1,284,2.327438665,2.374262829,2.279372531
1,285,2.318546272,2.365357427,2.270496943
1,286,2.309687855,2.356485428,2.261655915
1,287,2.300863282,2.347646706,2.252849312
1,288,2.292072425,2.338841136,2.244077002
1,289,2.283315156,2.330068594,2.235338849
1,290,2.274591345,2.321328956,2.226634722
1,291,2.265900865,2.312622099,2.217964488
1,292,2.257243588,2.3039479,2.209328015
1,293,2.248619388,2.295306236,2.200725171
1,294,2.240028138,2.286696985,2.192155825
1,295,2.231469713,2.278120025,2.183619847
1,296,2.222943987,2.269575237,2.175117107
1,297,2.214450835,2.261062498,2.166647476
1,298,2.205990132,2.252581689,2.158210825
1,299,2.197561755,2.244132689,2.149807025
1,300,2.18916558,2.23571538,2.141435948
1,301,2.180801484,2.227329643,2.133097467
1,302,2.172469345,2.21897536,2.124791455
1,303,2.16416904,2.210652411,2.116517785
1,304,2.155900448,2.20236068,2.108276332
1,305,2.147663448,2.19410005,2.100066971
1,306,2.139457918,2.185870404,2.091889575
1,307,2.131283739,2.177671626,2.083744022
1,308,2.123140791,2.1695036,2.075630186
1,309,2.115028955,2.16136621,2.067547944
1,310,2.106948111,2.153259343,2.059497174
1,311,2.098898142,2.145182882,2.051477752
1,312,2.090878929,2.137136715,2.043489557
1,313,2.082890354,2.129120728,2.035532467
1,314,2.074932302,2.121134807,2.027606361
1,315,2.067004655,2.113178839,2.019711118
1,316,2.059107296,2.105252713,2.011846618
1,317,2.051240111,2.097356316,2.004012741
