bV_mean,alphaV_mean
2.906545,4.475465
2.19601,6.046725
2.312445,5.256385
2.76654,5.07438
2.16074,5.82956
2.81718,3.56527
1.58802,1.40116
2.42089,3.757345
2.820505,0.40222
2.267345,4.788075
2.225175,4.395985
3.02688,0.292455
2.82507,4.354435
1.82892,6.004655
3.08027,3.19636
2.629315,0.6587555
2.835185,3.582235
2.434845,5.065285
3.038595,0.3507265
2.778985,4.366235
2.78359,4.117535
2.649595,3.570725
2.418395,4.50811
2.47026,4.298545
2.820445,3.82166
1.985215,5.812075
2.587615,4.120015
2.515725,0.4650865
2.49406,4.449885
1.771715,0.8214705
3.075545,3.43612
2.246805,4.96528
2.000895,0.6583275
2.332925,5.45171
1.67844,5.645505
2.70556,5.6263
1.564735,5.1697
2.93846,2.96255
2.880075,4.00113
2.00215,4.89009
2.048385,5.49637
2.15478,7.57849
2.37144,5.058605
1.353425,1.62927
3.29622,2.8888
3.013905,3.988025
4.66761,1.37023
2.158395,5.883155
1.82871,5.991005
2.00697,0.466798
3.042155,2.004035
3.270685,3.531055
2.11938,6.428875
3.000755,3.939165
2.27966,5.381655
2.97692,3.466045
3.11947,3.00453
2.15464,4.66576
2.298065,4.941705
3.02007,4.32706
1.850255,5.88828
3.0664,4.14442
2.149625,5.691885
3.08479,3.864295
2.491215,5.959545
1.98964,4.674075
3.211615,4.493915
2.137995,6.940575
2.049895,4.86592
3.017615,3.074905
2.49044,4.89486
2.01089,6.169035
2.39837,4.268685
2.874105,3.96536
1.53883,5.639225
3.17048,3.01947
2.478755,4.63268
3.281455,3.48661
3.142675,4.55323
2.116715,4.120425
1.944315,5.54418
3.0034,3.807155
2.47945,4.080145
2.71297,3.61458
2.99088,2.681405
3.07545,3.38701
2.491925,3.938765
2.609055,4.258545
2.364345,3.80938
2.251045,6.17749
2.10721,6.03295
2.616825,4.8875
2.94914,0.213986
2.620395,3.90111
2.245065,5.80666
2.21792,5.500435
3.320085,3.24791
2.67891,4.2779
1.79506,5.172595
2.2929,5.24444
2.69921,2.91337
1.982825,5.584205
2.121655,6.207485
3.85405,2.715135
3.02842,3.18058
2.219455,5.401835
2.18867,6.332735
2.595335,6.16422
1.646695,0.910976
2.835735,4.31482
2.654015,4.775435
3.090325,4.66885
2.074035,5.13435
2.11873,5.1406
2.80231,0.3910475
2.025755,5.05926
2.46523,3.898845
2.944645,4.06031
3.32185,2.44333
2.218475,4.64421
4.527985,4.15963
2.74099,4.32154
1.7135,5.58169
3.593255,2.206835
3.04775,4.492065
1.81252,1.021445
2.949745,1.721675
1.997645,6.25846
2.245855,4.825385
2.72709,4.18044
0.852278,7.069325
2.65352,4.294785
2.419195,5.23864
2.00556,7.544885
3.445815,2.42277
3.832385,3.074105
2.21689,5.618895
1.96589,5.652615
2.424615,4.553865
2.990875,4.553925
2.96972,3.835125
2.67861,4.36827
3.09906,3.60311
2.321885,0.613758
2.784605,3.673635
1.987875,5.37872
2.68325,5.051585
2.86748,3.90625
2.2743,5.038105
1.978255,0.9260055
2.28449,0.7309695
2.306385,5.429835
2.76351,4.71659
3.165765,4.530735
1.89134,6.463995
2.16389,5.49743
1.85505,5.17348
2.42843,4.25306
2.500245,4.415455
1.713615,5.51037
2.950505,3.27796
2.792305,4.009285
2.663005,4.877325
3.241695,3.11945
2.50177,4.59735
2.008165,6.816765
3.278665,2.445975
2.179555,5.400245
2.68131,4.66461
2.369565,5.122175
2.3852,5.162735
2.71629,3.20853
1.794205,5.32588
1.253045,5.98719
2.3057,4.686695
1.76996,5.03657
2.81345,4.011425
3.16854,3.601775
2.569155,3.710785
2.24511,4.856245
2.03374,6.15386
2.11431,5.013895
2.156005,4.852565
1.786715,4.95152
2.3416,4.633315
2.702675,4.41776
2.201485,5.665435
2.35472,5.19831
3.233985,3.8729
2.417585,4.01862
2.240375,4.816045
2.92116,3.35784
2.639195,4.028265
2.749545,4.44755
2.356285,4.165555
1.98596,4.923505
2.19391,4.725005
3.142015,4.014025
2.250355,4.25952
3.14477,2.31461
2.530325,5.289225
2.118025,5.281395
2.58026,3.90773
2.94009,2.613205
2.81785,2.790575
3.73381,2.775475
2.118535,4.990615
3.04104,2.637725
2.132895,5.15897
2.478585,5.257815
1.196915,5.190045
1.762585,4.5464
1.148815,2.430935
2.337405,5.8304
2.499425,3.754655
2.011125,5.52721
3.176675,3.77056
3.414255,0.154343
2.13403,4.64297
3.234,4.067365
2.765465,4.99994
2.38907,5.25773
2.90489,3.883185
3.485825,3.115595
3.13275,3.064125
2.34978,5.05254
2.82756,4.98219
2.901685,5.006085
2.72587,5.549845
2.915025,4.650355
2.5822,4.338235
2.80693,4.89178
2.554475,5.044055
2.60914,4.980935
2.83288,4.112525
1.97711,5.37235
2.521995,5.06537
2.59601,3.918685
2.08404,5.66791
2.516665,4.48684
3.301005,2.45619
3.309115,2.18878
1.86347,5.25347
2.97336,5.364075
2.57979,2.704595
3.162215,4.191675
2.756395,4.469775
2.671665,5.19343
2.96453,3.75906
2.62645,4.99015
2.42638,3.968215
2.07475,4.61644
2.708525,5.702625
1.622955,6.78757
2.457825,5.237225
1.777025,5.61354
1.78364,5.335025
2.766335,3.467715
1.85383,5.24442
2.74687,4.853195
1.547925,6.703635
2.984715,4.58997
1.86272,5.84068
2.495685,5.340135
3.397705,2.18609
3.124515,3.636085
1.899545,5.1072
2.286975,2.04125
2.278295,4.81303
2.451255,6.46922
2.42637,3.63455
2.819405,4.6349
2.50458,4.416835
2.276865,5.43578
2.402045,5.01125
2.83156,4.68206
2.516015,5.52467
3.228545,5.916135
2.46412,4.853
2.254405,0.364154
2.1815,5.507425
2.06548,5.393675
2.4411,5.27884
1.724945,5.90746
2.34448,5.918245
2.558765,5.72982
3.648535,3.75694
2.40116,0.2862315
2.800375,3.859555
2.01523,1.19024
2.61201,4.394105
2.887885,3.72362
2.542285,5.24493
1.314605,6.6576
2.012985,4.903565
3.020725,5.02569
2.5621,4.9309
3.051895,3.51491
1.89506,6.50178
3.668705,0.30028
1.913795,5.58391
3.075685,1.832455
2.47698,3.398995
2.974155,4.49582
2.20929,6.18588
2.019185,6.215215
2.042185,5.264645
2.81472,3.99204
2.308055,5.290925
2.357825,6.088995
1.560275,4.169115
2.345185,4.399925
2.0348,5.11536
2.77196,4.129325
3.301805,4.10286
4.538185,0.155703
2.42024,0.2878535
2.47884,4.79232
1.199565,5.58204
2.494035,3.659795
2.05944,4.199115
3.007375,3.008365
2.562945,5.713535
