bV_mean,alphaV_mean
7.50732,0.7430185
6.166915,0.3253805
2.906785,6.06824
5.96784,0.863514
3.121045,5.12103
6.827245,0.3170165
3.221405,4.489515
6.95115,0.5013845
3.1706,3.794945
6.206875,1.600985
7.231245,0.555664
6.91436,0.3006655
6.64012,0.5370845
5.9947,0.2773695
6.64162,0.8175625
6.542755,0.767973
6.39793,1.49602
7.52665,0.538804
6.47753,1.10684
6.718105,1.16366
2.512335,5.83571
6.294115,0.6561845
7.526525,1.25602
7.096845,0.9374035
6.48438,1.03374
5.69181,0.1950485
6.61807,1.021455
6.68315,0.934324
7.28118,1.387865
9.41715,0.56996
7.189795,1.135505
2.88028,1.625105
5.95239,0.520942
6.762085,0.49651
5.83126,0.5702185
7.756925,0.851126
7.567035,1.169865
2.39242,6.183925
4.867215,0.951023
6.56229,1.526085
8.175315,0.73359
6.693305,1.526545
7.40184,0.7115465
6.20027,0.7977895
5.92206,0.7194335
6.58144,1.83559
7.125485,1.578575
7.481315,1.125985
6.96867,1.508545
7.52521,0.695772
6.70841,0.462126
8.11904,0.2495955
6.43488,0.3532235
7.389035,0.491081
6.66662,0.207209
5.787675,0.623138
7.1293,0.6906575
6.423935,0.5233265
6.567635,0.9221285
6.90545,1.221535
5.96338,1.396285
6.85031,0.7334245
6.529835,0.4247475
6.021665,1.03552
7.315695,0.532476
6.591545,0.6292025
6.060385,0.77931
6.212965,0.553501
6.62178,0.847002
5.957105,0.627562
7.859785,0.457863
7.225185,0.914829
6.281715,0.792196
7.720025,1.21243
7.462115,0.407848
6.33448,0.533134
6.71195,0.634896
6.725325,0.399255
5.41077,0.357304
7.33415,0.801957
8.04291,0.537781
6.33874,0.662741
6.00409,0.3000095
8.440905,0.856122
2.49806,4.9774
6.889135,0.4882125
6.98894,0.561624
7.00923,0.916336
3.099785,5.034505
6.835635,0.4415565
6.779325,0.4703445
6.624445,0.9895875
8.3849,0.262858
6.81831,0.5173235
5.60075,0.620158
7.271495,0.4782105
2.754325,5.270305
6.81909,1.10096
6.62629,0.7642645
6.704355,0.685019
7.389435,0.314097
9.21445,0.08951915
5.662695,0.547128
6.73902,0.506688
7.273645,0.5387205
6.55995,0.277047
6.81788,0.472944
6.45174,0.4974555
2.83766,6.1152
6.24171,0.272172
7.45511,1.844125
6.5293,1.909815
7.05556,1.22943
2.815755,5.58989
7.219,1.255265
7.42927,1.07547
6.61626,1.282655
6.67754,0.346278
6.018505,0.540162
6.553385,0.69536
7.29212,0.658886
6.15115,0.536626
5.507215,1.09854
7.308145,1.260685
7.112205,0.507943
7.24435,1.658695
7.1022,1.422815
5.727635,1.136675
7.05695,0.297373
6.731545,1.598955
6.59142,0.659646
6.591965,0.610498
6.505295,0.5430845
6.01637,0.730165
6.84435,1.324785
7.83717,0.472717
6.790005,1.083365
6.77588,0.7052125
6.50701,1.15825
7.26145,0.8360465
6.20647,1.48255
6.05143,1.04714
6.94147,0.7869375
6.24183,0.6569905
6.65806,0.807975
6.275855,1.158745
6.263475,0.9225275
5.35212,0.8176505
5.4105,0.746513
6.27386,0.4366015
5.480355,0.6218105
7.03287,0.804877
7.475975,0.9286345
6.15442,0.5079355
6.0209,1.261705
3.48398,3.290105
6.034845,1.505345
7.273555,0.5322515
6.697985,0.492213
3.470305,3.32265
7.367405,1.003715
6.360465,0.9034135
5.981325,2.09158
7.62803,0.5521285
7.27173,0.9246265
6.62909,1.34265
7.326415,1.32177
7.092935,0.2898145
7.314285,1.057705
7.479565,0.588417
6.76063,0.895584
5.54987,0.5302515
6.86709,0.882881
8.06709,0.58325
5.084325,0.691721
6.97963,0.662413
6.16848,0.327006
6.448925,0.1983885
8.09694,0.7162245
6.01314,0.8783265
7.33268,1.64483
5.37719,0.5332275
6.50476,0.6063855
6.75473,1.23422
6.867045,1.562405
5.842995,0.9062715
7.46279,0.632009
7.40051,1.591075
7.137275,0.7276055
3.1168,5.907245
6.68037,0.830202
7.227525,0.610151
6.334175,0.564843
3.845475,2.919995
4.7409,0.460178
5.667515,0.4634975
7.05772,0.423086
6.56263,1.54554
7.309975,0.2545325
8.16663,0.4135295
5.402555,3.18789
6.51079,0.373075
6.900145,0.3536425
6.64406,0.555733
4.559215,2.286605
2.626425,6.741655
7.03301,0.9148225
6.623915,0.2212
5.930825,1.34566
5.8052,0.7456385
7.37412,0.4391615
6.435185,0.5688055
6.40578,0.646048
7.55767,0.6884875
5.461655,0.8219975
7.3094,0.60447
6.329985,0.4271135
7.555405,0.3319085
6.885545,0.471074
7.13556,0.5140835
7.791475,1.58673
3.14321,5.710545
7.342665,0.355352
6.386485,0.6021975
8.27684,0.9631055
6.276685,0.3735175
