bV_mean,alphaV_mean
6.66665,0.797369
7.163815,0.70054
5.1666,1.364685
5.46169,1.024235
7.10009,0.3632715
7.03562,0.873079
6.59156,0.5217955
7.08789,0.492346
7.035235,0.7660045
6.46959,0.7881115
6.9118,0.631329
7.13889,0.490617
6.320535,0.6373225
6.11383,1.54735
2.7663,4.26529
6.996525,0.605431
7.084045,0.887864
7.805375,0.699113
7.200715,0.688559
4.309155,0.859238
6.929045,0.7717635
6.698055,0.910219
5.40811,1.15029
5.61118,1.48924
5.814255,0.8589425
6.095985,1.15834
5.887185,0.1992505
7.130625,0.719408
8.07007,0.5965235
6.593185,0.292476
6.5134,1.079205
6.269395,1.01907
2.27854,5.53898
8.206765,0.564484
7.18918,0.901363
5.18938,0.821444
6.756025,0.608003
7.130085,1.01578
5.10404,0.526241
6.94915,0.5318175
5.50714,1.914995
6.65723,1.160345
5.86057,0.6485745
