bV_mean,alphaV_mean
5.76693,0.7293655
6.66311,0.5780885
6.58348,0.7763165
4.15937,0.623574
5.623265,0.769677
7.358415,0.672212
8.417665,0.5567885
6.584385,0.3411485
6.010365,1.036825
6.962075,0.629258
7.367815,0.445676
8.290965,0.553762
6.70367,0.728179
7.23221,0.730423
6.800185,0.6575925
6.722455,0.8546655
7.856275,0.388684
2.86018,4.443435
7.231205,0.3370865
9.61663,1.57087
7.52833,0.378363
6.685075,0.761902
8.073425,0.849017
7.112885,0.8282515
6.12992,0.8097615
5.27144,1.48381
7.02076,0.6726535
