time,group,day,no_positive,total_person,mean,lower,upper,dose
1,1,0,9257,10000,0.9257,0.920384812,0.930765639,2
2,1,15,8949,10000,0.8949,0.888723699,0.90084523,2
3,1,30,8522,10000,0.8522,0.845091577,0.859102641,2
4,1,45,7997,10000,0.7997,0.791718955,0.807506123,2
5,1,60,7311,10000,0.7311,0.722293284,0.739771942,2
6,1,75,6501,10000,0.6501,0.640659525,0.659452985,2
7,1,90,5474,10000,0.5474,0.537581694,0.557190685,2
8,1,105,4405,10000,0.4405,0.430738334,0.450296338,2
9,1,120,3330,10000,0.333,0.323762685,0.342334663,2
10,1,135,2331,10000,0.2331,0.224841824,0.241513884,2
11,1,150,1486,10000,0.1486,0.141681603,0.155723708,2
12,1,165,828,10000,0.0828,0.077470811,0.088373606,2
13,1,180,5129,10000,0.5129,0.503050884,0.5227416,2
14,1,195,9899,10000,0.9899,0.987740938,0.991766066,2
15,1,210,9903,10000,0.9903,0.988179465,0.992127113,2
16,1,225,9902,10000,0.9902,0.988069758,0.992036927,2
17,1,240,9898,10000,0.9898,0.987631429,0.99167568,2
18,1,255,9895,10000,0.9895,0.987303187,0.991404234,2
19,1,270,9890,10000,0.989,0.986757022,0.990950904,2
20,1,285,9887,10000,0.9887,0.986429841,0.990678382,2
21,1,300,9883,10000,0.9883,0.985994172,0.99031444,2
22,1,315,9880,10000,0.988,0.985667831,0.990041067,2
23,1,330,9876,10000,0.9876,0.985233234,0.989676039,2
24,1,345,9870,10000,0.987,0.984582405,0.989127419,2
25,1,360,9866,10000,0.9866,0.984149192,0.988760991,2
26,1,375,9863,10000,0.9863,0.98382462,0.98848583,2
27,1,390,9860,10000,0.986,0.983500325,0.988210388,2
28,1,405,9855,10000,0.9855,0.982960429,0.987750716,2
29,1,420,9853,10000,0.9853,0.982744672,0.987566645,2
30,1,435,9852,10000,0.9852,0.982636836,0.987474566,2
31,1,450,9849,10000,0.9849,0.98231349,0.987198165,2
32,1,465,9846,10000,0.9846,0.981990386,0.986921521,2
33,1,480,9841,10000,0.9841,0.981452397,0.986459924,2
34,1,495,9835,10000,0.9835,0.980807628,0.985905184,2
35,1,510,9828,10000,0.9828,0.980056465,0.985256909,2
36,1,525,9835,10000,0.9835,0.980807628,0.985905184,2
37,1,540,9910,10000,0.991,0.988948897,0.992756902,2
38,1,555,9982,10000,0.9982,0.99715671,0.998932868,2
39,1,570,9998,10000,0.9998,0.99927772,0.999975778,2
40,1,585,9997,10000,0.9997,0.999123525,0.999938129,2
41,1,600,9997,10000,0.9997,0.999123525,0.999938129,2
42,1,615,9996,10000,0.9996,0.998976161,0.999891003,2
43,1,630,9996,10000,0.9996,0.998976161,0.999891003,2
44,1,645,9996,10000,0.9996,0.998976161,0.999891003,2
45,1,660,9996,10000,0.9996,0.998976161,0.999891003,2
46,1,675,9996,10000,0.9996,0.998976161,0.999891003,2
47,1,690,9994,10000,0.9994,0.998694514,0.99977978,2
48,1,705,9993,10000,0.9993,0.998558268,0.999718519,2
49,1,720,9991,10000,0.9991,0.99829221,0.999588383,2
50,1,735,9989,10000,0.9989,0.998032651,0.99945076,2
51,1,750,9989,10000,0.9989,0.998032651,0.99945076,2
52,1,765,9989,10000,0.9989,0.998032651,0.99945076,2
53,1,780,9989,10000,0.9989,0.998032651,0.99945076,2
54,1,795,9989,10000,0.9989,0.998032651,0.99945076,2
55,1,810,9989,10000,0.9989,0.998032651,0.99945076,2
56,1,825,9987,10000,0.9987,0.997777986,0.999307629,2
57,1,840,9986,10000,0.9986,0.997652152,0.999234402,2
58,1,855,9986,10000,0.9986,0.997652152,0.999234402,2
59,1,870,9986,10000,0.9986,0.997652152,0.999234402,2
60,1,885,9986,10000,0.9986,0.997652152,0.999234402,2
61,1,900,9985,10000,0.9985,0.997527183,0.999160226,2
62,1,915,9985,10000,0.9985,0.997527183,0.999160226,2
63,1,930,9984,10000,0.9984,0.997402997,0.999085194,2
64,1,945,9984,10000,0.9984,0.997402997,0.999085194,2
65,1,960,9984,10000,0.9984,0.997402997,0.999085194,2
66,1,975,9984,10000,0.9984,0.997402997,0.999085194,2
67,1,990,9983,10000,0.9983,0.997279526,0.999009385,2
68,1,1005,9981,10000,0.9981,0.997034498,0.9988557,2
69,1,1020,9979,10000,0.9979,0.996791709,0.998699612,2
70,1,1035,9978,10000,0.9978,0.996671057,0.998620774,2
71,1,1050,9976,10000,0.9976,0.996431081,0.998461688,2
72,1,1065,9975,10000,0.9975,0.996311704,0.998381499,2
73,1,1080,9975,10000,0.9975,0.996311704,0.998381499,2
74,1,1095,9975,10000,0.9975,0.996311704,0.998381499,2
75,1,1110,9973,10000,0.9973,0.996074055,0.998219952,2
76,1,1125,9970,10000,0.997,0.995720061,0.997975025,2
77,1,1140,9968,10000,0.9968,0.995485531,0.997810204,2
78,1,1155,9968,10000,0.9968,0.995485531,0.997810204,2
