time,group,day,no_positive,total_person,mean,lower,upper,dose
1,1,0,8620,10000,0.862,0.855084651,0.868703783,2
2,1,15,8101,10000,0.8101,0.802272714,0.817746263,2
3,1,30,7474,10000,0.7474,0.738762604,0.755893094,2
4,1,45,6659,10000,0.6659,0.656558048,0.675145245,2
5,1,60,5694,10000,0.5694,0.559625994,0.579133565,2
6,1,75,4622,10000,0.4622,0.452390431,0.472031595,2
7,1,90,3545,10000,0.3545,0.345117783,0.363967024,2
8,1,105,2524,10000,0.2524,0.243909197,0.261035222,2
9,1,120,1634,10000,0.1634,0.156202219,0.170794374,2
10,1,135,929,10000,0.0929,0.087279531,0.098758824,2
11,1,150,484,10000,0.0484,0.044275773,0.052789699,2
12,1,165,208,10000,0.0208,0.01809309,0.023790771,2
13,1,180,4685,10000,0.4685,0.45868002,0.478338335,2
14,1,195,9423,10000,0.9423,0.937549506,0.946790807,2
15,1,210,9395,10000,0.9395,0.934647801,0.944094236,2
16,1,225,9367,10000,0.9367,0.931748926,0.941394828,2
17,1,240,9354,10000,0.9354,0.930403933,0.940140616,2
18,1,255,9336,10000,0.9336,0.928542551,0.938403098,2
19,1,270,9319,10000,0.9319,0.926785522,0.936761163,2
20,1,285,9302,10000,0.9302,0.925029378,0.935118342,2
21,1,300,9274,10000,0.9274,0.922138754,0.932410666,2
22,1,315,9246,10000,0.9246,0.919250327,0.92970079,2
23,1,330,9231,10000,0.9231,0.917703819,0.928248205,2
24,1,345,9214,10000,0.9214,0.915951813,0.926601238,2
25,1,360,9191,10000,0.9191,0.913582602,0.924371836,2
26,1,375,9168,10000,0.9168,0.911214669,0.922141154,2
27,1,390,9144,10000,0.9144,0.908745091,0.919812176,2
28,1,405,9128,10000,0.9128,0.907099424,0.918258804,2
29,1,420,9100,10000,0.91,0.904220841,0.915539067,2
30,1,435,9076,10000,0.9076,0.901754789,0.913206556,2
31,1,450,9055,10000,0.9055,0.899597948,0.911164655,2
32,1,465,9036,10000,0.9036,0.897647263,0.909316475,2
33,1,480,9006,10000,0.9006,0.894568628,0.906396903,2
34,1,495,8978,10000,0.8978,0.89169672,0.903670481,2
35,1,510,8952,10000,0.8952,0.889031185,0.901137565,2
36,1,525,8985,10000,0.8985,0.892414565,0.904352218,2
37,1,540,9411,10000,0.9411,0.936305559,0.945635493,2
38,1,555,9865,10000,0.9865,0.98404097,0.988669303,2
39,1,570,9923,10000,0.9923,0.990385589,0.993918641,2
40,1,585,9923,10000,0.9923,0.990385589,0.993918641,2
41,1,600,9921,10000,0.9921,0.990163834,0.99374065,2
42,1,615,9916,10000,0.9916,0.989610641,0.993294457,2
43,1,630,9912,10000,0.9912,0.989169239,0.992936331,2
44,1,645,9910,10000,0.991,0.988948897,0.992756902,2
45,1,660,9906,10000,0.9906,0.988508897,0.992397352,2
46,1,675,9903,10000,0.9903,0.988179465,0.992127113,2
47,1,690,9901,10000,0.9901,0.987960101,0.991946691,2
48,1,705,9896,10000,0.9896,0.987412554,0.991494763,2
49,1,720,9890,10000,0.989,0.986757022,0.990950904,2
50,1,735,9887,10000,0.9887,0.986429841,0.990678382,2
51,1,750,9883,10000,0.9883,0.985994172,0.99031444,2
52,1,765,9878,10000,0.9878,0.985450459,0.989858627,2
53,1,780,9870,10000,0.987,0.984582405,0.989127419,2
54,1,795,9864,10000,0.9864,0.983932779,0.988577582,2
55,1,810,9862,10000,0.9862,0.983716491,0.988394047,2
56,1,825,9855,10000,0.9855,0.982960429,0.987750716,2
57,1,840,9852,10000,0.9852,0.982636836,0.987474566,2
58,1,855,9852,10000,0.9852,0.982636836,0.987474566,2
59,1,870,9849,10000,0.9849,0.98231349,0.987198165,2
60,1,885,9841,10000,0.9841,0.981452397,0.986459924,2
61,1,900,9832,10000,0.9832,0.980485564,0.98562749,2
62,1,915,9823,10000,0.9823,0.979520588,0.984793182,2
63,1,930,9816,10000,0.9816,0.978771247,0.98414307,2
64,1,945,9808,10000,0.9808,0.977916058,0.983398875,2
65,1,960,9794,10000,0.9794,0.976422338,0.982093652,2
66,1,975,9781,10000,0.9781,0.975038306,0.980878644,2
67,1,990,9775,10000,0.9775,0.974400422,0.980316965,2
68,1,1005,9767,10000,0.9767,0.973550744,0.979567221,2
69,1,1020,9756,10000,0.9756,0.972383912,0.978534838,2
70,1,1035,9744,10000,0.9744,0.971112834,0.977406763,2
71,1,1050,9733,10000,0.9733,0.969949249,0.976371115,2
72,1,1065,9722,10000,0.9722,0.968787073,0.97533405,2
73,1,1080,9703,10000,0.9703,0.966782767,0.973539652,2
74,1,1095,9686,10000,0.9686,0.964992506,0.971931057,2
75,1,1110,9666,10000,0.9666,0.96288971,0.970035185,2
76,1,1125,9653,10000,0.9653,0.961524717,0.968801036,2
77,1,1140,9641,10000,0.9641,0.96026592,0.967660619,2
78,1,1155,9627,10000,0.9627,0.958798701,0.96632875,2
79,1,1170,9614,10000,0.9614,0.957437545,0.965090749,2
80,1,1185,9598,10000,0.9598,0.955763856,0.963565469,2
81,1,1200,9585,10000,0.9585,0.954405204,0.962324955,2
82,1,1215,9572,10000,0.9572,0.953047592,0.961083396,2
83,1,1230,9558,10000,0.9558,0.951586662,0.959745216,2
84,1,1245,9540,10000,0.954,0.949709937,0.958023081,2
85,1,1260,9516,10000,0.9516,0.947210301,0.955724227,2
86,1,1275,9496,10000,0.9496,0.945129457,0.953806324,2
87,1,1290,9478,10000,0.9478,0.943258297,0.952078606,2
88,1,1305,9456,10000,0.9456,0.940973273,0.949964998,2
89,1,1320,9434,10000,0.9434,0.938690277,0.947849356,2
90,1,1335,9403,10000,0.9403,0.935476562,0.944864982,2
91,1,1350,9366,10000,0.9366,0.931645445,0.94129837,2
92,1,1365,9351,10000,0.9351,0.93009363,0.939851103,2
93,1,1380,9327,10000,0.9327,0.927612247,0.937533951,2
94,1,1395,9302,10000,0.9302,0.925029378,0.935118342,2
95,1,1410,9271,10000,0.9271,0.921829177,0.932120425,2
96,1,1425,9242,10000,0.9242,0.918837867,0.929313492,2
97,1,1440,9219,10000,0.9219,0.916467032,0.927085717,2
98,1,1455,9194,10000,0.9194,0.913891556,0.924662701,2
99,1,1470,9164,10000,0.9164,0.910802981,0.921753083,2
100,1,1485,9141,10000,0.9141,0.908436485,0.919520962,2
101,1,1500,9109,10000,0.9109,0.905145918,0.91641345,2
102,1,1515,9078,10000,0.9078,0.901960249,0.913400977,2
103,1,1530,9052,10000,0.9052,0.899289899,0.910872883,2
104,1,1545,9021,10000,0.9021,0.896107736,0.907856899,2
105,1,1560,8991,10000,0.8991,0.893029931,0.904936495,2
106,1,1575,8957,10000,0.8957,0.889543698,0.901624755,2
107,1,1590,8918,10000,0.8918,0.885547218,0.897823556,2
108,1,1605,8875,10000,0.8875,0.881143719,0.893629612,2
109,1,1620,8831,10000,0.8831,0.876640782,0.889335162,2
110,1,1635,8794,10000,0.8794,0.872856439,0.885721699,2
111,1,1650,8761,10000,0.8761,0.869482854,0.88249724,2
112,1,1665,8718,10000,0.8718,0.8650892,0.87829344,2
113,1,1680,8670,10000,0.867,0.860187513,0.873597967,2
114,1,1695,8623,10000,0.8623,0.855390737,0.86899752,2
115,1,1710,8572,10000,0.8572,0.850188713,0.864002555,2
116,1,1725,8507,10000,0.8507,0.843562975,0.857632127,2
117,1,1740,8461,10000,0.8461,0.838876768,0.853121044,2
118,1,1755,8409,10000,0.8409,0.833581969,0.848018906,2
119,1,1770,8357,10000,0.8357,0.828289875,0.84291406,2
120,1,1785,8306,10000,0.8306,0.823102082,0.837904854,2
121,1,1800,8242,10000,0.8242,0.816595314,0.831615384,2
122,1,1815,8187,10000,0.8187,0.811006472,0.826207457,2
123,1,1830,8133,10000,0.8133,0.805521766,0.820895333,2
124,1,1845,8082,10000,0.8082,0.800343984,0.815876108,2
125,1,1860,8024,10000,0.8024,0.794458059,0.810165435,2
126,1,1875,7967,10000,0.7967,0.788676159,0.804550678,2
127,1,1890,7898,10000,0.7898,0.781680275,0.797750606,2
128,1,1905,7844,10000,0.7844,0.776207647,0.792426398,2
129,1,1920,7785,10000,0.7785,0.770230639,0.786606861,2
130,1,1935,7717,10000,0.7717,0.763344834,0.779896648,2
131,1,1950,7657,10000,0.7657,0.75727167,0.773973323,2
132,1,1965,7600,10000,0.76,0.751504315,0.768344014,2
133,1,1980,7543,10000,0.7543,0.745739002,0.76271266,2
134,1,1995,7469,10000,0.7469,0.738257179,0.755398811,2
135,1,2010,7411,10000,0.7411,0.732395334,0.749664048,2
136,1,2025,7345,10000,0.7345,0.72572734,0.743135899,2
137,1,2040,7275,10000,0.7275,0.718657932,0.736209398,2
138,1,2055,7215,10000,0.7215,0.712600606,0.730270229,2
139,1,2070,7145,10000,0.7145,0.705536197,0.723338727,2
140,1,2085,7070,10000,0.707,0.697970077,0.715909227,2
141,1,2100,6991,10000,0.6991,0.69000359,0.708080327,2
142,1,2115,6918,10000,0.6918,0.682644971,0.700843208,2
143,1,2130,6851,10000,0.6851,0.675893504,0.694198585,2
144,1,2145,6780,10000,0.678,0.668741359,0.687154874,2
145,1,2160,6710,10000,0.671,0.661692318,0.680207999,2
146,1,179,3909,10000,0.3909,0.381319248,0.400544334,2
147,1,239,9355,10000,0.9355,0.930507374,0.940237114,2
148,1,359,9192,10000,0.9192,0.913685585,0.924468793,2
149,1,539,9380,10000,0.938,0.933094492,0.942648466,2
1,2,0,8620,10000,0.862,0.855084651,0.868703783,2
2,2,15,8101,10000,0.8101,0.802272714,0.817746263,2
