group,alpha_est,Tbv_est,Tv_est
2,4.44209,2.986755,7.431295
2,6.33161,2.026695,8.36687
2,5.45446,2.16916,7.63355
2,5.18094,2.886295,8.081465
2,6.04361,2.18907,8.24016
2,3.963645,2.7253,6.692005
1,1.4462,1.42515,2.87553
2,4.126865,2.371135,6.50665
1,0.298277,2.828805,3.16759
2,4.59277,2.87988,7.486355
2,4.58263,2.165815,6.763975
1,0.201541,3.026685,3.27859
2,4.583955,2.852595,7.44424
2,5.929825,2.00049,7.937335
2,2.794715,3.46815,6.269005
1,0.545682,2.6614,3.235665
2,3.330125,3.193335,6.52963
2,5.29211,2.480735,7.78557
1,0.2600075,3.030775,3.33848
2,4.6223,2.85819,7.485485
2,4.17433,2.98509,7.16828
2,3.59969,2.9425,6.54793
2,4.765195,2.36008,7.13174
2,4.72497,2.365,7.09275
2,3.855935,2.86116,6.72667
2,6.273735,1.819305,8.100185
2,3.95923,2.99275,6.96789
1,0.3254595,2.541775,2.910925
2,4.37002,2.69349,7.072085
1,0.744905,1.72053,2.482505
2,2.926565,3.799,6.730995
2,5.21618,2.146435,7.37452
1,0.850278,1.82749,2.681985
2,5.856785,2.229385,8.08742
2,6.03255,1.56952,7.618055
2,5.697465,2.80352,8.50704
2,5.572685,1.36418,6.947345
2,3.436315,2.878495,6.3143
2,4.138755,3.026595,7.173275
2,5.198925,1.93762,7.14808
2,5.882355,1.926425,7.81703
2,8.18897,2.046135,10.24845
2,5.048745,2.615845,7.66516
1,1.88274,1.16619,3.051965
2,3.191715,3.31451,6.518945
2,4.5462,2.84888,7.407065
2,3.54427,2.663675,6.224
2,6.30905,2.08795,8.402615
2,6.2374,1.8715,8.117465
1,0.5213845,1.75668,2.29757
2,0.8365705,4.439685,5.30216
2,3.83828,3.16065,7.016505
2,6.712615,2.190555,8.918705
2,3.766055,3.40532,7.16772
2,5.937185,2.07235,8.01015
2,3.481505,3.234075,6.727795
2,2.770955,3.61995,6.40005
2,4.85934,2.16987,7.03108
2,5.037925,2.314305,7.367365
2,3.647005,3.90696,7.562605
2,6.201115,1.791735,7.998965
2,4.269055,3.127635,7.4011
2,6.153125,2.18317,8.344995
2,4.15139,3.15081,7.311245
2,6.453665,2.59322,9.059225
2,5.00095,2.043555,7.060545
2,4.66385,3.405275,8.08076
2,7.185475,2.07294,9.27375
2,5.29367,2.015645,7.30587
2,3.304,3.15904,6.476
2,5.25654,2.447085,7.71159
2,6.254685,2.06362,8.32472
2,3.14355,3.875035,7.03424
2,4.16525,2.933235,7.10394
2,5.857605,1.5647,7.43194
2,2.878285,3.480705,6.371645
2,4.89741,2.51219,7.41392
2,3.499275,3.630325,7.14267
2,4.13092,3.68334,7.81838
2,4.52201,1.93903,6.468345
2,5.74748,2.03699,7.799275
2,3.834695,3.25571,7.103915
2,4.108195,2.526385,6.64194
2,3.76608,2.77863,6.56394
2,1.923845,3.97059,5.897965
2,3.40154,3.362425,6.780125
2,3.80262,2.66803,6.474695
2,4.380735,2.750805,7.133485
2,4.130745,2.29664,6.437915
2,6.050845,2.51701,8.576355
2,6.563625,2.00118,8.575015
2,5.35364,2.3974,7.75058
1,0.1818015,2.679635,2.90831
2,4.22704,2.64907,6.89666
2,6.08589,2.18558,8.282735
2,6.01601,2.10531,8.130765
2,3.381085,3.48949,6.88209
2,4.82443,2.535835,7.359795
2,5.69343,1.653195,7.3624
2,5.337465,2.30461,7.650425
2,3.10357,2.841885,5.958405
2,5.97526,1.84405,7.821945
2,6.596565,2.12288,8.73157
2,2.12206,4.72669,6.85545
2,3.39082,3.16376,6.562515
2,5.562085,2.115275,7.68814
2,6.36925,2.26903,8.644215
