time,group,median,q1,q3
0,1,5.40167,4.9943,5.76431
4,1,5.31783,4.91859,5.6729125
8,1,5.23513,4.84387,5.58318
12,1,5.15364,4.77006,5.49475
16,1,5.07311,4.69741,5.40791
20,1,4.99382,4.6252875,5.3224
24,1,4.91556,4.55416,5.2385225
28,1,4.83873,4.48388,5.15596
32,1,4.7628,4.41459,5.07464
36,1,4.688075,4.3461575,4.99446
40,1,4.6147,4.27867,4.91587
44,1,4.54237,4.21168,4.83864
48,1,4.47098,4.14559,4.76286
52,1,4.40073,4.08027,4.68829
56,1,4.3315,4.01572,4.61494
60,1,4.26338,3.95214,4.54302
64,1,4.19649,3.88928,4.47235
68,1,4.13061,3.82716,4.40292
72,1,4.06579,3.7658175,4.3348
76,1,4.001895,3.70539,4.26782
80,1,3.93875,3.64543,4.20216
84,1,3.87675,3.58639,4.1373625
88,1,3.81594,3.52815,4.07375
92,1,3.75598,3.47069,4.0112925
96,1,3.69673,3.414,3.94988
100,1,3.638405,3.35816,3.8897125
104,1,3.580955,3.3030075,3.83053
108,1,3.52446,3.24875,3.77245
112,1,3.46883,3.19484,3.71551
116,1,3.41405,3.14195,3.65936
120,1,3.36006,3.08973,3.60415
124,1,3.30706,3.0383875,3.5499
128,1,3.25471,2.98783,3.49668
132,1,3.20324,2.93801,3.44437
136,1,3.15259,2.88901,3.39301
140,1,3.10264,2.84046,3.34236
144,1,3.05373,2.79277,3.29269
148,1,3.00531,2.74574,3.24361
152,1,2.95779,2.69962,3.19546
156,1,2.91098,2.65401,3.14817
160,1,2.8649,2.60926,3.10172
164,1,2.8196,2.56514,3.05595
168,1,2.77493,2.52188,3.01091
172,1,2.73099,2.47926,2.96667
176,1,2.68775,2.43727,2.92316
180,1,2.64524,2.39591,2.88025
184,1,2.60335,2.35527,2.83814
188,1,2.56196,2.3152075,2.79676
192,1,2.521435,2.27587,2.75596
196,1,2.48134,2.23725,2.71568
200,1,2.44198,2.1993,2.67615
204,1,2.403285,2.16183,2.63719
208,1,2.36517,2.1252,2.59887
212,1,2.32775,2.08921,2.56104
216,1,2.29081,2.05358,2.52371
220,1,2.25458,2.01858,2.48707
224,1,2.21887,1.98423,2.45109
228,1,2.18377,1.9503875,2.41565
232,1,2.14916,1.91713,2.38077
236,1,2.11513,1.8844275,2.3463525
240,1,2.08233,1.85234,2.3167
244,1,2.10094,1.85315,2.39353
248,1,2.24838,1.9264475,6.9430675
252,1,2.506425,1.9851475,7.59451
256,1,2.83851,1.98924,7.6923625
260,1,6.942755,2.03805,7.8247
264,1,7.35604,2.4633375,8.04285
268,1,7.417595,6.2133125,8.07799
272,1,7.427,6.4986575,8.07143
276,1,7.49331,6.7258075,8.11961
280,1,7.50645,6.8201525,8.11392
284,1,7.52001,6.8586375,8.11344
288,1,7.51542,6.8790875,8.10603
292,1,7.52255,6.9095875,8.10155
296,1,7.51564,6.9032575,8.0940625
300,1,7.508695,6.8969,8.0866325
304,1,7.501805,6.89055,8.07917
308,1,7.49491,6.884215,8.07174
