No,GMT,lower,upper,no_person,dat_group,age,cohort_group
1,6.854450358,6.697339353,7.011561362,350,1,15,1
2,4.853417883,4.758671589,4.948164177,350,1,105,1
3,3.428303253,3.320473732,3.536132775,268,1,270,1
3,6.795551286,6.465432278,7.125670294,118,1,270,1
4,7.078732412,6.925516664,7.231948159,212,1,450,1
6,7.233590124,7.084957037,7.382223212,152,1,810,1
7,6.787675207,6.537926017,7.037424397,41,1,990,1
8,6.763911068,6.63659358,6.891228557,172,1,1170,1
1,6.850747741,6.710669524,6.990825959,350,2,15,1
2,4.88471216,4.794881179,4.974543141,350,2,105,1
3,3.393269241,3.302326904,3.484211578,268,2,270,1
3,6.962727415,6.886395816,7.039059015,118,2,270,1
4,6.996696667,6.938486402,7.054906931,212,2,450,1
6,7.187930784,7.120033067,7.255828501,152,2,810,1
7,6.881099878,6.778619966,6.98357979,41,2,990,1
8,6.872468285,6.810909635,6.934026935,172,2,1170,1
4,6.898519143,6.49817277,7.298865516,86,1,450,2
5,7.069843435,6.677456477,7.462230393,35,1,630,2
4,6.910304118,6.859217584,6.961390651,86,2,450,2
5,7.012324725,6.865971408,7.158678042,35,2,630,2
5,7.551429649,7.141639823,7.961219475,15,1,630,2
7,7.18438711,6.889992994,7.478781226,37,1,990,2
8,6.84262304,6.669296242,7.015949838,90,1,1170,2
9,6.896546664,6.651942055,7.141151273,41,1,1350,2
10,6.684571404,6.507058141,6.862084666,91,1,1530,2
11,6.808616371,6.593903607,7.023329135,22,1,1710,2
5,7.386964497,7.271985566,7.501943428,15,2,630,2
7,7.200686939,7.053151567,7.348222312,37,2,990,2
8,6.968690331,6.907516174,7.029864489,90,2,1170,2
9,7.066262725,6.902899296,7.229626154,41,2,1350,2
10,6.669534858,6.603568135,6.735501581,91,2,1530,2
11,6.864907556,6.608423061,7.121392051,22,2,1710,2
